Artist	Image	English Caption	Korean Caption
Albrecht Dürer	Albrecht_Dürer_21.jpg	a drawing of a shield with a flower in the center	중앙에 꽃이 있는 방패를 그린 그림
Albrecht Dürer	Albrecht_Dürer_22.jpg	a drawing of a man sitting in a room with a lion	사자와 함께 방에 앉아 있는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_23.jpg	a drawing of a man with a beard and a hat	수염과 모자를 쓴 남자의 그림
Albrecht Dürer	Albrecht_Dürer_24.jpg	a self portrait of a man with a hand on his head	머리에 손을 얹은 남자의 자기 초상화
Albrecht Dürer	Albrecht_Dürer_25.jpg	two studies of a childs head	아이의 머리에 대한 두 가지 연구
Albrecht Dürer	Albrecht_Dürer_26.jpg	a drawing of a woman standing with her hands on her hips	엉덩이에 손을 얹고 서 있는 여자의 그림
Albrecht Dürer	Albrecht_Dürer_27.jpg	an image of a drawing of a group of people	사람들 모임의 그림을 그린 이미지
Albrecht Dürer	Albrecht_Dürer_28.jpg	a sketch of a woman sitting on a bench	벤치에 앉아 있는 여자의 스케치
Albrecht Dürer	Albrecht_Dürer_29.jpg	sketch of an angel with wings and a man on a ball	날개가 달린 천사와 공을 탄 남자의 스케치
Albrecht Dürer	Albrecht_Dürer_30.jpg	a drawing of a man riding on the back of a horse	말 뒤를 타고 있는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_31.jpg	a drawing of people in a building	건물 안에 있는 사람들의 그림
Albrecht Dürer	Albrecht_Dürer_32.jpg	a drawing of a man with a hat and a tower	모자와 탑을 가진 남자의 그림
Albrecht Dürer	Albrecht_Dürer_33.jpg	a statue of a man standing with a cane	지팡이를 들고 서 있는 남자의 동상
Albrecht Dürer	Albrecht_Dürer_34.jpg	a drawing of two women standing next to each other	서로 옆에 서 있는 두 여자의 그림
Albrecht Dürer	Albrecht_Dürer_35.jpg	a drawing of a man sitting with his arm outstretched	팔꿈치로 앉아 있는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_36.jpg	a drawing of a group of naked men	벌거벗은 남자 무리의 그림
Albrecht Dürer	Albrecht_Dürer_37.jpg	a portrait of a man with a beard and a hat	수염과 모자를 쓴 남자의 초상화
Albrecht Dürer	Albrecht_Dürer_38.jpg	a drawing of a group of people sitting around a table	테이블 주위에 앉아 있는 사람들의 그림
Albrecht Dürer	Albrecht_Dürer_39.jpg	a drawing of a woman in a veil	베일을 입은 여자의 그림
Albrecht Dürer	Albrecht_Dürer_40.jpg	a sketch of a drawing of a man in a costume	의상을 입은 남자의 그림 그림
Albrecht Dürer	Albrecht_Dürer_41.jpg	a portrait of a man wearing a hat and a tie	모자와 넥타이를 쓴 남자의 초상화
Albrecht Dürer	Albrecht_Dürer_42.jpg	a drawing of a man on a horse holding a flag	깃발을 들고 있는 말에 남자를 그린 그림
Albrecht Dürer	Albrecht_Dürer_43.jpg	a drawing of a woman in a white dress and a hat	흰 드레스를 입은 여자와 모자를 그린 그림
Albrecht Dürer	Albrecht_Dürer_44.jpg	a drawing of a man sitting in front of a grave	무덤 앞에 앉아 있는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_45.jpg	a drawing of a woman in a dress	드레스를 입은 여성의 그림
Albrecht Dürer	Albrecht_Dürer_46.jpg	a drawing of a crowd of people standing around a market	시장 주변에 서 있는 사람들의 그림
Albrecht Dürer	Albrecht_Dürer_47.jpg	a sketch of a man working on a piece of wood	나무 조각 작업을 하는 남자의 스케치
Albrecht Dürer	Albrecht_Dürer_48.jpg	a drawing of a man on a horse and a child	말과 아이에게 남자를 그린 그림
Albrecht Dürer	Albrecht_Dürer_49.jpg	a pair of hands praying with a bird in their hands	새를 손에 쥐고 기도하는 손 한 쌍
Albrecht Dürer	Albrecht_Dürer_50.jpg	a skull sitting on top of a table	테이블 위에 앉아 있는 두개골
Albrecht Dürer	Albrecht_Dürer_51.jpg	a drawing of an angel with a bird flying over a castle	성 위를 날아다니는 새가 있는 천사의 그림
Albrecht Dürer	Albrecht_Dürer_52.jpg	a drawing of a man riding on a horse	말을 타고 다니는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_53.jpg	a drawing of people riding in a horse drawn carriage	말을 타고 마차를 타는 사람들의 그림
Albrecht Dürer	Albrecht_Dürer_54.jpg	a drawing of a man standing next to a dog	개 옆에 서 있는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_55.jpg	a black and white drawing of a person holding a bag	가방을 들고 있는 사람의 검고 흰색 그림
Albrecht Dürer	Albrecht_Dürer_56.jpg	a drawing of a man standing in front of a black background	검은 배경 앞에 서 있는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_57.jpg	an image of the drawings of two men and a dog	두 남자와 개의 그림을 그린 이미지
Albrecht Dürer	Albrecht_Dürer_58.jpg	a drawing of a group of people standing under a ladder	사다리 아래에 서 있는 사람들 무리의 그림
Albrecht Dürer	Albrecht_Dürer_59.jpg	a drawing of a woman with a child on her lap	무릎에 아이를 둔 여성의 그림
Albrecht Dürer	Albrecht_Dürer_60.jpg	a drawing of a woman wearing a hat	모자를 쓴 여자의 그림
Albrecht Dürer	Albrecht_Dürer_61.jpg	a portrait of a woman with a drawing of her neck	목 그림을 그린 여성의 초상화
Albrecht Dürer	Albrecht_Dürer_62.jpg	a drawing of a group of men with swords	검을 든 남자 무리의 그림
Albrecht Dürer	Albrecht_Dürer_63.jpg	a drawing of a man riding a horse in a tunnel	터널에서 말을 타는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_64.jpg	a drawing of a woman holding a cup and a candle	컵과 촛불을 들고 있는 여자의 그림
Albrecht Dürer	Albrecht_Dürer_65.jpg	a drawing of a group of people on a ship	배에 타고 있는 사람들의 그림
Albrecht Dürer	Albrecht_Dürer_66.jpg	a drawing of two naked men standing in front of trees	나무 앞에 서 있는 나체 남자 두 명의 그림
Albrecht Dürer	Albrecht_Dürer_67.jpg	a portrait of a man with a hat on his head	머리에 모자를 쓴 남자의 초상화
Albrecht Dürer	Albrecht_Dürer_68.jpg	a drawing of a crowd of people in a church	교회에서 많은 사람들이 그린 그림
Albrecht Dürer	Albrecht_Dürer_69.jpg	a drawing of a woman sitting in a bath	목욕탕에 앉아 있는 여자의 그림
Albrecht Dürer	Albrecht_Dürer_70.jpg	a portrait of a woman with her head turned to the side	머리를 가진 여자의 초상화
Albrecht Dürer	Albrecht_Dürer_71.jpg	a drawing of people standing around a tree	나무 주위에 서 있는 사람들의 그림
Albrecht Dürer	Albrecht_Dürer_72.jpg	a drawing of a table and vases	탁자 그림과 조각 그림
Albrecht Dürer	Albrecht_Dürer_73.jpg	a drawing of a group of people standing around a wheel	휠체어 주위에 서 있는 사람들의 그림
Albrecht Dürer	Albrecht_Dürer_74.jpg	a drawing of a group of people in a chariot drawn by angels	천사들이 그린 작품 속 사람들 무리를 그린 그림
Albrecht Dürer	Albrecht_Dürer_75.jpg	a drawing of a ship on a cliff	절벽에 있는 배의 그림
Albrecht Dürer	Albrecht_Dürer_76.jpg	a painting of a statue of a man standing on a chair	의자에 서 있는 남자의 동상 그림
Albrecht Dürer	Albrecht_Dürer_77.jpg	an image of a drawing of a woman and two children	여자와 두 아이의 그림을 그린 이미지
Albrecht Dürer	Albrecht_Dürer_78.jpg	a black and white drawing of a cow with horns	뿔이 있는 소를 검고 흰색으로 그린 그림
Albrecht Dürer	Albrecht_Dürer_79.jpg	a drawing of a woman sitting on top of a group of people	사람들 위에 앉아 있는 여자의 그림
Albrecht Dürer	Albrecht_Dürer_80.jpg	a sketch of a man in a military uniform holding a weapon	군복을 입은 남자의 흉기를 들고 있는 스케치
Albrecht Dürer	Albrecht_Dürer_81.jpg	a drawing of a woman holding a baby	아기를 안고 있는 여자의 그림
Albrecht Dürer	Albrecht_Dürer_82.jpg	a drawing of a man wearing a hat	모자를 쓴 남자의 그림
Albrecht Dürer	Albrecht_Dürer_83.jpg	an illustration of a window with angels and demons in it	그 안에 천사와 악마가 있는 창문의 모습
Albrecht Dürer	Albrecht_Dürer_84.jpg	an image of a drawing of two angels and a woman holding a child	두 천사와 한 여자가 아이를 안고 있는 그림을 그린 이미지
Albrecht Dürer	Albrecht_Dürer_85.jpg	a drawing of a group of people sitting around a table	테이블 주위에 앉아 있는 사람들의 그림
Albrecht Dürer	Albrecht_Dürer_86.jpg	a drawing of a man and a woman on a swing	스윙을 하는 남자와 여자의 그림
Albrecht Dürer	Albrecht_Dürer_87.jpg	a drawing of a deity with a chain	사슬이 달린 도자기 그림
Albrecht Dürer	Albrecht_Dürer_88.jpg	a portrait of a woman by painting artist	화가에 의한 여성의 초상화
Albrecht Dürer	Albrecht_Dürer_89.jpg	a drawing of a baby with a basket on its head	머리에 바구니가 달린 아기의 그림
Albrecht Dürer	Albrecht_Dürer_90.jpg	a close up of a hand with a finger outstretched	손가락 가장자리가 있는 손의 가까운 부분
Albrecht Dürer	Albrecht_Dürer_91.jpg	a portrait of a woman wearing a crown and a white dress	관상과 흰색 드레스를 입은 여성의 초상화
Albrecht Dürer	Albrecht_Dürer_92.jpg	a sketch of a woman holding a bird	새를 쥐고 있는 여자의 스케치
Albrecht Dürer	Albrecht_Dürer_93.jpg	a portrait of a woman with a hat on her head	머리에 모자를 쓴 여성의 초상화
Albrecht Dürer	Albrecht_Dürer_94.jpg	a portrait of an old man with a beard	수염이 있는 노인의 초상화
Albrecht Dürer	Albrecht_Dürer_95.jpg	a portrait of a man with a beard and a hat	수염과 모자를 쓴 남자의 초상화
Albrecht Dürer	Albrecht_Dürer_96.jpg	a sketch of a man holding a sword and a book	검과 책을 들고 있는 남자의 스케치
Albrecht Dürer	Albrecht_Dürer_97.jpg	a drawing of a statue of a man holding a puppet on a fountain	분수대에 인형을 들고 있는 남자의 동상을 그린 그림
Albrecht Dürer	Albrecht_Dürer_98.jpg	an image of a drawing of people in a field	현장에서 사람들을 그리는 이미지
Albrecht Dürer	Albrecht_Dürer_99.jpg	a drawing of people on horses and demons	말과 악마를 태우는 사람들의 그림
Albrecht Dürer	Albrecht_Dürer_100.jpg	an image of a drawing of a man wearing a hat	모자를 쓴 남자의 그림
Albrecht Dürer	Albrecht_Dürer_101.jpg	a drawing of two naked men and a monkey	나체 남자 두 명과 원숭이 한 명의 그림
Albrecht Dürer	Albrecht_Dürer_102.jpg	a sketch of a woman holding a child and a man sitting at a table	아이를 안고 있는 여자와 테이블에 앉은 남자의 스케치
Albrecht Dürer	Albrecht_Dürer_103.jpg	a drawing of a horse drawn carriage full of people	사람들로 가득 찬 말을 그리는 그림
Albrecht Dürer	Albrecht_Dürer_104.jpg	a drawing of two women in 18th century clothing	18세기 의류를 입은 두 여성의 그림
Albrecht Dürer	Albrecht_Dürer_105.jpg	a drawing of a woman holding a baby	아기를 안고 있는 여자의 그림
Albrecht Dürer	Albrecht_Dürer_106.jpg	a portrait of a woman wearing a veil	베일을 쓴 여자의 초상화
Albrecht Dürer	Albrecht_Dürer_107.jpg	a sketch of a group of people sitting around a table	테이블 주위에 앉아 있는 사람들의 그룹 스케치
Albrecht Dürer	Albrecht_Dürer_108.jpg	a drawing of a man sitting in a chair	의자에 앉아 있는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_109.jpg	two sketches of a woman sitting in a wine glass	와인잔에 앉아 있는 한 여자의 그림 두 장
Albrecht Dürer	Albrecht_Dürer_110.jpg	a drawing of a man sitting in front of a castle	성 앞에 앉아 있는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_111.jpg	a sketch of an old man standing with a book	책으로 서 있는 한 노인의 스케치
Albrecht Dürer	Albrecht_Dürer_112.jpg	a drawing of a woman standing with her hands on her back	허리에 손을 얹고 서 있는 여자의 그림
Albrecht Dürer	Albrecht_Dürer_113.jpg	a drawing of an old woman wearing a crown	왕관을 입은 할머니의 그림
Albrecht Dürer	Albrecht_Dürer_114.jpg	a drawing of a woman wearing a hat	모자를 쓴 여자의 그림
Albrecht Dürer	Albrecht_Dürer_115.jpg	a drawing of an old man wearing a hat	모자를 쓴 노인의 그림
Albrecht Dürer	Albrecht_Dürer_116.jpg	a black and white drawing of a church with priests and people	성직자와 사람이 함께 있는 교회를 흑백으로 그린 그림
Albrecht Dürer	Albrecht_Dürer_117.jpg	a drawing of a woman in a dress holding a book	책을 들고 있는 드레스를 입은 여성의 그림
Albrecht Dürer	Albrecht_Dürer_118.jpg	a drawing of a group of men in a prison	감옥에 있는 남자 무리의 그림
Albrecht Dürer	Albrecht_Dürer_119.jpg	a sketch of a group of people sitting around a table	테이블 주위에 앉아 있는 사람들의 그룹 스케치
Albrecht Dürer	Albrecht_Dürer_120.jpg	a drawing of a man riding on a horse	말을 타고 다니는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_121.jpg	a drawing of a group of people in a church	교회에서 사람들이 모인 그림
Albrecht Dürer	Albrecht_Dürer_122.jpg	a drawing of a man riding on a horse	말을 타고 다니는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_123.jpg	a drawing of a group of people working in a field	현장에서 일하는 사람들 무리의 그림
Albrecht Dürer	Albrecht_Dürer_124.jpg	a drawing of a statue of a woman holding a candle	촛불을 들고 있는 여성의 동상 그림
Albrecht Dürer	Albrecht_Dürer_125.jpg	a drawing of a group of people on a boat	보트에 타고 있는 사람들의 그림
Albrecht Dürer	Albrecht_Dürer_126.jpg	a portrait of a man wearing a hat and a blanket	모자와 담요를 쓴 남자의 초상화
Albrecht Dürer	Albrecht_Dürer_127.jpg	a drawing of a group of people with babies	아기를 둔 사람들의 그림
Albrecht Dürer	Albrecht_Dürer_128.jpg	an old mans head with	오래된 머리카락
Albrecht Dürer	Albrecht_Dürer_129.jpg	a drawing of a man standing with a spear	창으로 서 있는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_130.jpg	a drawing of the crucifixion of builder on a cross	십자가에 있는 건설업자의 십자가 그림
Albrecht Dürer	Albrecht_Dürer_131.jpg	a drawing of an angel playing a guitar	기타를 연주하는 천사의 그림
Albrecht Dürer	Albrecht_Dürer_132.jpg	a drawing of two women and a man standing in front of a mirror	두 여자와 한 남자가 거울 앞에 서 있는 그림
Albrecht Dürer	Albrecht_Dürer_133.jpg	an image of drawings of people and animals	사람과 동물에 대한 그림
Albrecht Dürer	Albrecht_Dürer_134.jpg	a drawing of a man sitting on a chair	의자에 앉아 있는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_135.jpg	a drawing of knights on horses	말을 타고 기사들을 그린 그림
Albrecht Dürer	Albrecht_Dürer_136.jpg	a drawing of a piece of cloth on a table	테이블에 있는 천 조각 그림
Albrecht Dürer	Albrecht_Dürer_137.jpg	a portrait of a woman wearing a hat and a dress	모자와 드레스를 입은 여성의 초상화
Albrecht Dürer	Albrecht_Dürer_138.jpg	a painting of a group of people in a room	방에 있는 사람들의 그림
Albrecht Dürer	Albrecht_Dürer_139.jpg	a sketch of a woman in a cloak	코트를 입은 여자의 스케치
Albrecht Dürer	Albrecht_Dürer_140.jpg	a drawing of a group of people standing in front of a building	건물 앞에 서 있는 사람들의 그림
Albrecht Dürer	Albrecht_Dürer_141.jpg	a portrait of a young woman	젊은 여성의 초상화
Albrecht Dürer	Albrecht_Dürer_142.jpg	a drawing of a woman wearing a headdress	머리 드레스를 입은 여성의 그림
Albrecht Dürer	Albrecht_Dürer_143.jpg	a drawing of people and an elephant	사람과 코끼리의 그림
Albrecht Dürer	Albrecht_Dürer_144.jpg	a portrait of person by painting artist	화가가 그린 사람의 초상화
Albrecht Dürer	Albrecht_Dürer_145.jpg	a drawing of an old woman wearing a hat	모자를 쓴 할머니의 그림
Albrecht Dürer	Albrecht_Dürer_146.jpg	a drawing of a baby           renaissance	아기 그림 재조사
Albrecht Dürer	Albrecht_Dürer_147.jpg	a painting of an old man with a beard	수염이 있는 노인의 그림
Albrecht Dürer	Albrecht_Dürer_148.jpg	two drawings of a woman with a veil and a hat	베일과 모자를 쓴 두 여자의 그림
Albrecht Dürer	Albrecht_Dürer_149.jpg	a drawing of a man holding a shovel and another man and a woman	삽을 든 남자와 다른 남자와 여자의 그림
Albrecht Dürer	Albrecht_Dürer_150.jpg	a drawing of the buildings of the city of philadelphia	필라델피아 도시의 건물들을 그린 그림
Albrecht Dürer	Albrecht_Dürer_151.jpg	a drawing of a group of people in a room	방에 있는 사람들의 그림
Albrecht Dürer	Albrecht_Dürer_152.jpg	a drawing of a woman in a dress and a drawing of a woman in a	드레스를 입은 여성의 그림과 한 여성의 그림
Albrecht Dürer	Albrecht_Dürer_153.jpg	a drawing of an archway of an old church	오래된 교회의 신화 그림
Albrecht Dürer	Albrecht_Dürer_154.jpg	a sketch of a group of people standing in a courtyard	안뜰에 서 있는 사람들의 그룹 스케치
Albrecht Dürer	Albrecht_Dürer_155.jpg	a drawing of a woman in a dress and a hat	드레스와 모자를 입은 여성의 그림
Albrecht Dürer	Albrecht_Dürer_156.jpg	a portrait of a woman with curly hair	머리카락이 곱슬곱슬한 여자의 초상화
Albrecht Dürer	Albrecht_Dürer_157.jpg	a portrait of a man wearing a hat	모자를 쓴 남자의 초상화
Albrecht Dürer	Albrecht_Dürer_158.jpg	a portrait of a woman with a crown on her head	머리에 관상을 씌운 여성의 초상화
Albrecht Dürer	Albrecht_Dürer_159.jpg	a drawing of a woman standing with a cane	지팡이로 서 있는 여자의 그림
Albrecht Dürer	Albrecht_Dürer_160.jpg	a drawing of a man and woman riding on a horse	말을 타고 있는 남녀의 그림
Albrecht Dürer	Albrecht_Dürer_161.jpg	a drawing of a baby sitting on a stool holding a toothbrush	칫솔을 들고 자리에 앉아 있는 아기의 그림
Albrecht Dürer	Albrecht_Dürer_162.jpg	a drawing of a man riding on a horse	말을 타고 다니는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_163.jpg	a drawing of a woman wearing a hat and holding a dog	모자를 쓰고 개를 안고 있는 여성의 그림
Albrecht Dürer	Albrecht_Dürer_164.jpg	a sketch of a bedroom with a bed and a sailboat	침대와 항해선이 달린 침실 스케치
Albrecht Dürer	Albrecht_Dürer_165.jpg	a drawing of a city street with buildings and people	건물과 사람들이 있는 도시 거리의 그림
Albrecht Dürer	Albrecht_Dürer_166.jpg	a drawing of a woman with two children	두 아이를 둔 여성의 그림
Albrecht Dürer	Albrecht_Dürer_167.jpg	a drawing of a soldier standing next to a tree	나무 옆에 서 있는 군인의 그림
Albrecht Dürer	Albrecht_Dürer_168.jpg	a drawing of a man and a woman with fruit	과일을 가진 남자와 여자의 그림
Albrecht Dürer	Albrecht_Dürer_169.jpg	a drawing of an old man with a long beard	수염이 긴 노인의 그림
Albrecht Dürer	Albrecht_Dürer_170.jpg	a drawing of a man and a woman running	남자와 여자가 달리는 그림
Albrecht Dürer	Albrecht_Dürer_171.jpg	a drawing of a woman and a woman with veil	베일을 가진 여자와 여자의 그림
Albrecht Dürer	Albrecht_Dürer_172.jpg	a drawing of a crowd of people in front of a building	건물 앞에 사람들이 모여 있는 그림
Albrecht Dürer	Albrecht_Dürer_173.jpg	a sketch of a woman sitting on a blanket	담요 위에 앉아 있는 여자의 스케치
Albrecht Dürer	Albrecht_Dürer_174.jpg	a sketch of a woman holding a sword	검을 든 여자의 스케치
Albrecht Dürer	Albrecht_Dürer_175.jpg	a drawing of a woman wearing a hat	모자를 쓴 여자의 그림
Albrecht Dürer	Albrecht_Dürer_176.jpg	a drawing of three people standing around a tree	나무 주위에 서 있는 세 사람의 그림
Albrecht Dürer	Albrecht_Dürer_177.jpg	a sketch of a woman and children in a room	방에 있는 여자와 아이들의 스케치
Albrecht Dürer	Albrecht_Dürer_178.jpg	a drawing of a woman and a child in a drawing room	화장실에 있는 여자와 아이의 그림
Albrecht Dürer	Albrecht_Dürer_179.jpg	an image of a drawing by painting artist	그림 작가가 그린 그림 이미지
Albrecht Dürer	Albrecht_Dürer_180.jpg	a drawing of a chariot with people on it	사람들과 함께 하는 그림
Albrecht Dürer	Albrecht_Dürer_181.jpg	a drawing of a hand holding a teddy bear	테디 곰을 안고 있는 손 그림
Albrecht Dürer	Albrecht_Dürer_182.jpg	an image of a drawing of women and children	여성과 아이들의 그림을 그린 이미지
Albrecht Dürer	Albrecht_Dürer_183.jpg	a drawing of a man on a horse with a flag	깃발이 달린 말에 남자를 그린 그림
Albrecht Dürer	Albrecht_Dürer_184.jpg	a drawing of a lobster on the floor	바닥에 있는 로브스터 그림
Albrecht Dürer	Albrecht_Dürer_185.jpg	a drawing of a woman in a dress	드레스를 입은 여성의 그림
Albrecht Dürer	Albrecht_Dürer_186.jpg	a drawing of a group of people standing around a tree	나무 주위에 서 있는 사람들의 그림
Albrecht Dürer	Albrecht_Dürer_187.jpg	a drawing of a forest with people and trees	사람과 나무가 있는 숲 그림
Albrecht Dürer	Albrecht_Dürer_188.jpg	a drawing of a group of people in the woods	숲에 있는 사람들 무리의 그림
Albrecht Dürer	Albrecht_Dürer_189.jpg	an image of a drawing by painting artist	그림 작가가 그린 그림 이미지
Albrecht Dürer	Albrecht_Dürer_190.jpg	a sketch of a castle on a cliff	벼랑 위에 있는 성의 스케치
Albrecht Dürer	Albrecht_Dürer_191.jpg	a drawing of a woman wearing a hat and holding a book	모자를 쓰고 책을 들고 있는 여성의 그림
Albrecht Dürer	Albrecht_Dürer_192.jpg	a sketch of a woman in a dress and hat	드레스와 모자를 입은 여성의 스케치
Albrecht Dürer	Albrecht_Dürer_193.jpg	a drawing of a man holding a glass	유리잔을 들고 있는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_194.jpg	a portrait of a man with a beard	수염이 있는 남자의 초상화
Albrecht Dürer	Albrecht_Dürer_195.jpg	a drawing of a woman sitting on a chair	의자에 앉아 있는 여자의 그림
Albrecht Dürer	Albrecht_Dürer_196.jpg	a drawing of a man and a woman	남자와 여자의 그림
Albrecht Dürer	Albrecht_Dürer_197.jpg	a drawing of a woman sitting on a chair with a child	아이와 함께 의자에 앉아 있는 여성의 그림
Albrecht Dürer	Albrecht_Dürer_198.jpg	a pencil sketch of a man in a sari with a sword	칼을 든 사리에 있는 남자의 연필
Albrecht Dürer	Albrecht_Dürer_199.jpg	a drawing of a man standing next to a table with books	책이 있는 테이블 옆에 서 있는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_200.jpg	a drawing of a man holding a wand and a sword	지팡이와 검을 들고 있는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_201.jpg	a drawing of a woman riding a fish	물고기를 타는 여자의 그림
Albrecht Dürer	Albrecht_Dürer_202.jpg	a drawing of a garden with a fountain	분수대가 있는 정원 그림
Albrecht Dürer	Albrecht_Dürer_203.jpg	a sketch of a man wearing a hat	모자를 쓴 남자의 스케치
Albrecht Dürer	Albrecht_Dürer_204.jpg	a sketch of people sitting near a tree	나무 근처에 앉은 사람들의 스케치
Albrecht Dürer	Albrecht_Dürer_205.jpg	a portrait of a man wearing a hat and	모자를 쓴 남자의 초상화
Albrecht Dürer	Albrecht_Dürer_206.jpg	a drawing of the interior of a church with a staircase	계단이 있는 교회 내부의 그림
Albrecht Dürer	Albrecht_Dürer_207.jpg	a drawing of a crucifix crucifixion and two women and a statue of a man	십자가 그리고 두 여자 그리고 남자 동상
Albrecht Dürer	Albrecht_Dürer_208.jpg	an image of a drawing of a woman holding a curtain	커튼을 들고 있는 여자의 그림
Albrecht Dürer	Albrecht_Dürer_209.jpg	a drawing of a man on a horse	말을 타고 있는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_210.jpg	a drawing of a man wearing a scarf and holding his hand out to the viewer	스카프를 쓰고 시청자에게 손을 들어주는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_211.jpg	a sketch of a harbor with boats and buildings	보트와 건물이 있는 항구의 스케치
Albrecht Dürer	Albrecht_Dürer_212.jpg	a drawing of a man with a beard and a hat	수염과 모자를 쓴 남자의 그림
Albrecht Dürer	Albrecht_Dürer_213.jpg	a portrait of a woman in front of a cityscape	도시 경관 앞에 있는 여성의 초상화
Albrecht Dürer	Albrecht_Dürer_214.jpg	a drawing of a woman wearing a veil	베일을 쓴 여자의 그림
Albrecht Dürer	Albrecht_Dürer_215.jpg	a painting of a man riding a horse in the sky	하늘에 말을 타는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_216.jpg	a drawing of a man on a horse with a gun	총을 들고 말을 타고 있는 남자의 그림
Albrecht Dürer	Albrecht_Dürer_217.jpg	a drawing of a woman wearing a hat	모자를 쓴 여자의 그림
Albrecht Dürer	Albrecht_Dürer_218.jpg	a drawing of a man wearing a hat	모자를 쓴 남자의 그림
Albrecht Dürer	Albrecht_Dürer_219.jpg	a drawing of a woman wearing a hat	모자를 쓴 여자의 그림
Albrecht Dürer	Albrecht_Dürer_220.jpg	a drawing of a naked man standing in front of a mirror	거울 앞에 서 있는 나체 남자의 그림
Albrecht Dürer	Albrecht_Dürer_221.jpg	a drawing of a woman with a sword and a child	검과 아이를 가진 여성의 그림
Albrecht Dürer	Albrecht_Dürer_222.jpg	a drawing of a hand holding a knife	칼을 들고 있는 손 그림
Albrecht Dürer	Albrecht_Dürer_223.jpg	a drawing of a group of people with weapons and horses	무기와 말을 가진 사람들 무리의 그림
Albrecht Dürer	Albrecht_Dürer_224.jpg	a drawing of a man and woman sitting under trees	나무 밑에 앉아 있는 남녀의 그림
